source	target	weight
tgn,7021610	tgn,7021610	452
tgn,7018995	tgn,7021610	37
tgn,7018995	tgn,7018995	368
tgn,7018023	tgn,7021610	29
tgn,7018023	tgn,7018995	58
tgn,7018023	tgn,7018023	458
tgn,7017751	tgn,7018995	2
tgn,7017751	tgn,7018023	2
tgn,7017751	tgn,7017751	18
tgn,7017750	tgn,7021610	23
tgn,7017750	tgn,7018995	322
tgn,7017750	tgn,7018023	313
tgn,7017750	tgn,7017751	3
tgn,7017750	tgn,7017750	646
tgn,7017708	tgn,7021610	14
tgn,7017708	tgn,7018995	83
tgn,7017708	tgn,7018023	50
tgn,7017708	tgn,7017751	4
tgn,7017708	tgn,7017750	169
tgn,7017708	tgn,7017708	979
tgn,7017649	tgn,7021610	26
tgn,7017649	tgn,7018995	137
tgn,7017649	tgn,7018023	115
tgn,7017649	tgn,7017751	28
tgn,7017649	tgn,7017750	524
tgn,7017649	tgn,7017708	218
tgn,7017649	tgn,7017649	772
tgn,7017544	tgn,7018995	1
tgn,7017544	tgn,7018023	4
tgn,7017544	tgn,7017750	1
tgn,7017544	tgn,7017544	1
tgn,7017498	tgn,7021610	26
tgn,7017498	tgn,7018995	6
tgn,7017498	tgn,7018023	25
tgn,7017498	tgn,7017751	2
tgn,7017498	tgn,7017750	31
tgn,7017498	tgn,7017708	28
tgn,7017498	tgn,7017649	22
tgn,7017498	tgn,7017498	180
tgn,7017496	tgn,7021610	10
tgn,7017496	tgn,7018995	8
tgn,7017496	tgn,7018023	65
tgn,7017496	tgn,7017751	7
tgn,7017496	tgn,7017750	143
tgn,7017496	tgn,7017708	35
tgn,7017496	tgn,7017649	183
tgn,7017496	tgn,7017544	3
tgn,7017496	tgn,7017498	46
tgn,7017496	tgn,7017496	211
tgn,7017444	tgn,7021610	130
tgn,7017444	tgn,7018995	32
tgn,7017444	tgn,7018023	134
tgn,7017444	tgn,7017751	4
tgn,7017444	tgn,7017750	155
tgn,7017444	tgn,7017708	57
tgn,7017444	tgn,7017649	128
tgn,7017444	tgn,7017498	31
tgn,7017444	tgn,7017496	72
tgn,7017444	tgn,7017444	273
tgn,7016154	tgn,7021610	49
tgn,7016154	tgn,7018995	166
tgn,7016154	tgn,7018023	74
tgn,7016154	tgn,7017751	35
tgn,7016154	tgn,7017750	105
tgn,7016154	tgn,7017708	796
tgn,7016154	tgn,7017649	43
tgn,7016154	tgn,7017498	28
tgn,7016154	tgn,7017496	19
tgn,7016154	tgn,7017444	41
tgn,7016154	tgn,7016154	1215
tgn,7016129	tgn,7018995	13
tgn,7016129	tgn,7018023	46
tgn,7016129	tgn,7017751	4
tgn,7016129	tgn,7017750	41
tgn,7016129	tgn,7017708	81
tgn,7016129	tgn,7017649	26
tgn,7016129	tgn,7017544	2
tgn,7016129	tgn,7017498	6
tgn,7016129	tgn,7017496	8
tgn,7016129	tgn,7017444	13
tgn,7016129	tgn,7016154	140
tgn,7016129	tgn,7016129	71
tgn,7014729	tgn,7018995	10
tgn,7014729	tgn,7018023	7
tgn,7014729	tgn,7017751	1
tgn,7014729	tgn,7017750	14
tgn,7014729	tgn,7017708	62
tgn,7014729	tgn,7017649	28
tgn,7014729	tgn,7017498	10
tgn,7014729	tgn,7017496	6
tgn,7014729	tgn,7017444	21
tgn,7014729	tgn,7016154	43
tgn,7014729	tgn,7016129	10
tgn,7014729	tgn,7014729	261
tgn,7014664	tgn,7021610	18
tgn,7014664	tgn,7018995	18
tgn,7014664	tgn,7018023	108
tgn,7014664	tgn,7017750	17
tgn,7014664	tgn,7017708	48
tgn,7014664	tgn,7017649	18
tgn,7014664	tgn,7017544	4
tgn,7014664	tgn,7017498	1
tgn,7014664	tgn,7017496	4
tgn,7014664	tgn,7017444	18
tgn,7014664	tgn,7016154	45
tgn,7014664	tgn,7016129	44
tgn,7014664	tgn,7014729	2
tgn,7014664	tgn,7014664	360
tgn,7014631	tgn,7021610	21
tgn,7014631	tgn,7018995	14
tgn,7014631	tgn,7018023	24
tgn,7014631	tgn,7017751	1
tgn,7014631	tgn,7017750	29
tgn,7014631	tgn,7017708	11
tgn,7014631	tgn,7017649	9
tgn,7014631	tgn,7017498	33
tgn,7014631	tgn,7017496	12
tgn,7014631	tgn,7017444	50
tgn,7014631	tgn,7016154	38
tgn,7014631	tgn,7016129	8
tgn,7014631	tgn,7014729	13
tgn,7014631	tgn,7014664	5
tgn,7014631	tgn,7014631	138
tgn,7014629	tgn,7021610	1
tgn,7014629	tgn,7018995	18
tgn,7014629	tgn,7018023	28
tgn,7014629	tgn,7017751	3
tgn,7014629	tgn,7017750	27
tgn,7014629	tgn,7017708	72
tgn,7014629	tgn,7017649	28
tgn,7014629	tgn,7017498	5
tgn,7014629	tgn,7017496	16
tgn,7014629	tgn,7017444	10
tgn,7014629	tgn,7016154	32
tgn,7014629	tgn,7016129	15
tgn,7014629	tgn,7014729	8
tgn,7014629	tgn,7014664	37
tgn,7014629	tgn,7014631	1
tgn,7014629	tgn,7014629	353
tgn,7014620	tgn,7021610	13
tgn,7014620	tgn,7018995	27
tgn,7014620	tgn,7018023	23
tgn,7014620	tgn,7017751	2
