source	target	weight
tgn,7021610	tgn,7021610	452
tgn,7018995	tgn,7021610	37
tgn,7018995	tgn,7018995	402
tgn,7018023	tgn,7021610	30
tgn,7018023	tgn,7018995	278
tgn,7018023	tgn,7018023	2791
tgn,7017751	tgn,7018995	16
tgn,7017751	tgn,7018023	60
tgn,7017751	tgn,7017751	67
tgn,7017750	tgn,7021610	23
tgn,7017750	tgn,7018995	429
tgn,7017750	tgn,7018023	840
tgn,7017750	tgn,7017751	14
tgn,7017750	tgn,7017750	945
tgn,7017708	tgn,7021610	14
tgn,7017708	tgn,7018995	97
tgn,7017708	tgn,7018023	236
tgn,7017708	tgn,7017751	7
tgn,7017708	tgn,7017750	207
tgn,7017708	tgn,7017708	1517
tgn,7017649	tgn,7021610	26
tgn,7017649	tgn,7018995	154
tgn,7017649	tgn,7018023	178
tgn,7017649	tgn,7017751	43
tgn,7017649	tgn,7017750	580
tgn,7017649	tgn,7017708	231
tgn,7017649	tgn,7017649	788
tgn,7017544	tgn,7021610	1
tgn,7017544	tgn,7018995	21
tgn,7017544	tgn,7018023	835
tgn,7017544	tgn,7017751	18
tgn,7017544	tgn,7017750	76
tgn,7017544	tgn,7017708	60
tgn,7017544	tgn,7017649	11
tgn,7017544	tgn,7017544	303
tgn,7017498	tgn,7021610	26
tgn,7017498	tgn,7018995	20
tgn,7017498	tgn,7018023	39
tgn,7017498	tgn,7017751	5
tgn,7017498	tgn,7017750	45
tgn,7017498	tgn,7017708	46
tgn,7017498	tgn,7017649	38
tgn,7017498	tgn,7017498	333
tgn,7017496	tgn,7021610	10
tgn,7017496	tgn,7018995	36
tgn,7017496	tgn,7018023	253
tgn,7017496	tgn,7017751	58
tgn,7017496	tgn,7017750	286
tgn,7017496	tgn,7017708	131
tgn,7017496	tgn,7017649	228
tgn,7017496	tgn,7017544	32
tgn,7017496	tgn,7017498	132
tgn,7017496	tgn,7017496	2369
tgn,7017444	tgn,7021610	135
tgn,7017444	tgn,7018995	63
tgn,7017444	tgn,7018023	674
tgn,7017444	tgn,7017751	13
tgn,7017444	tgn,7017750	364
tgn,7017444	tgn,7017708	115
tgn,7017444	tgn,7017649	157
tgn,7017444	tgn,7017544	116
tgn,7017444	tgn,7017498	75
tgn,7017444	tgn,7017496	212
tgn,7017444	tgn,7017444	966
tgn,7016154	tgn,7021610	49
tgn,7016154	tgn,7018995	170
tgn,7016154	tgn,7018023	204
tgn,7016154	tgn,7017751	35
tgn,7016154	tgn,7017750	127
tgn,7016154	tgn,7017708	1142
tgn,7016154	tgn,7017649	45
tgn,7016154	tgn,7017544	39
tgn,7016154	tgn,7017498	30
tgn,7016154	tgn,7017496	50
tgn,7016154	tgn,7017444	50
tgn,7016154	tgn,7016154	1434
tgn,7016129	tgn,7021610	1
tgn,7016129	tgn,7018995	39
tgn,7016129	tgn,7018023	796
tgn,7016129	tgn,7017751	5
tgn,7016129	tgn,7017750	122
tgn,7016129	tgn,7017708	121
tgn,7016129	tgn,7017649	56
tgn,7016129	tgn,7017544	205
tgn,7016129	tgn,7017498	7
tgn,7016129	tgn,7017496	27
tgn,7016129	tgn,7017444	181
tgn,7016129	tgn,7016154	165
tgn,7016129	tgn,7016129	377
tgn,7014729	tgn,7018995	13
tgn,7014729	tgn,7018023	34
tgn,7014729	tgn,7017751	1
tgn,7014729	tgn,7017750	17
tgn,7014729	tgn,7017708	73
tgn,7014729	tgn,7017649	28
tgn,7014729	tgn,7017498	12
tgn,7014729	tgn,7017496	38
tgn,7014729	tgn,7017444	31
tgn,7014729	tgn,7016154	50
tgn,7014729	tgn,7016129	13
tgn,7014729	tgn,7014729	367
tgn,7014664	tgn,7021610	18
tgn,7014664	tgn,7018995	24
tgn,7014664	tgn,7018023	148
tgn,7014664	tgn,7017750	32
tgn,7014664	tgn,7017708	59
tgn,7014664	tgn,7017649	18
tgn,7014664	tgn,7017544	13
tgn,7014664	tgn,7017498	1
tgn,7014664	tgn,7017496	9
tgn,7014664	tgn,7017444	31
tgn,7014664	tgn,7016154	50
tgn,7014664	tgn,7016129	50
tgn,7014664	tgn,7014729	8
tgn,7014664	tgn,7014664	549
tgn,7014631	tgn,7021610	21
tgn,7014631	tgn,7018995	23
tgn,7014631	tgn,7018023	92
tgn,7014631	tgn,7017751	10
tgn,7014631	tgn,7017750	65
tgn,7014631	tgn,7017708	31
tgn,7014631	tgn,7017649	13
tgn,7014631	tgn,7017544	10
tgn,7014631	tgn,7017498	89
tgn,7014631	tgn,7017496	65
tgn,7014631	tgn,7017444	113
tgn,7014631	tgn,7016154	39
tgn,7014631	tgn,7016129	18
tgn,7014631	tgn,7014729	19
tgn,7014631	tgn,7014664	21
tgn,7014631	tgn,7014631	383
tgn,7014629	tgn,7021610	1
tgn,7014629	tgn,7018995	20
tgn,7014629	tgn,7018023	46
tgn,7014629	tgn,7017751	7
tgn,7014629	tgn,7017750	31
tgn,7014629	tgn,7017708	78
tgn,7014629	tgn,7017649	32
tgn,7014629	tgn,7017544	5
tgn,7014629	tgn,7017498	6
tgn,7014629	tgn,7017496	40
tgn,7014629	tgn,7017444	20
tgn,7014629	tgn,7016154	42
