source	target	weight
tgn,7021610	tgn,7021610	452
tgn,7018995	tgn,7021610	37
tgn,7018995	tgn,7018995	407
tgn,7018023	tgn,7021610	30
tgn,7018023	tgn,7018995	281
tgn,7018023	tgn,7018023	2792
tgn,7017751	tgn,7018995	16
tgn,7017751	tgn,7018023	61
tgn,7017751	tgn,7017751	67
tgn,7017750	tgn,7021610	23
tgn,7017750	tgn,7018995	438
tgn,7017750	tgn,7018023	850
tgn,7017750	tgn,7017751	14
tgn,7017750	tgn,7017750	953
tgn,7017708	tgn,7021610	14
tgn,7017708	tgn,7018995	97
tgn,7017708	tgn,7018023	237
tgn,7017708	tgn,7017751	8
tgn,7017708	tgn,7017750	207
tgn,7017708	tgn,7017708	1524
tgn,7017649	tgn,7021610	26
tgn,7017649	tgn,7018995	156
tgn,7017649	tgn,7018023	179
tgn,7017649	tgn,7017751	46
tgn,7017649	tgn,7017750	584
tgn,7017649	tgn,7017708	231
tgn,7017649	tgn,7017649	792
tgn,7017544	tgn,7021610	1
tgn,7017544	tgn,7018995	21
tgn,7017544	tgn,7018023	835
tgn,7017544	tgn,7017751	18
tgn,7017544	tgn,7017750	76
tgn,7017544	tgn,7017708	61
tgn,7017544	tgn,7017649	11
tgn,7017544	tgn,7017544	303
tgn,7017498	tgn,7021610	26
tgn,7017498	tgn,7018995	20
tgn,7017498	tgn,7018023	41
tgn,7017498	tgn,7017751	5
tgn,7017498	tgn,7017750	49
tgn,7017498	tgn,7017708	47
tgn,7017498	tgn,7017649	38
tgn,7017498	tgn,7017498	378
tgn,7017496	tgn,7021610	10
tgn,7017496	tgn,7018995	39
tgn,7017496	tgn,7018023	255
tgn,7017496	tgn,7017751	59
tgn,7017496	tgn,7017750	290
tgn,7017496	tgn,7017708	132
tgn,7017496	tgn,7017649	229
tgn,7017496	tgn,7017544	32
tgn,7017496	tgn,7017498	134
tgn,7017496	tgn,7017496	2377
tgn,7017444	tgn,7021610	135
tgn,7017444	tgn,7018995	77
tgn,7017444	tgn,7018023	688
tgn,7017444	tgn,7017751	14
tgn,7017444	tgn,7017750	393
tgn,7017444	tgn,7017708	118
tgn,7017444	tgn,7017649	158
tgn,7017444	tgn,7017544	118
tgn,7017444	tgn,7017498	81
tgn,7017444	tgn,7017496	226
tgn,7017444	tgn,7017444	1032
tgn,7016154	tgn,7021610	49
tgn,7016154	tgn,7018995	170
tgn,7016154	tgn,7018023	205
tgn,7016154	tgn,7017751	35
tgn,7016154	tgn,7017750	127
tgn,7016154	tgn,7017708	1145
tgn,7016154	tgn,7017649	45
tgn,7016154	tgn,7017544	39
tgn,7016154	tgn,7017498	30
tgn,7016154	tgn,7017496	50
tgn,7016154	tgn,7017444	50
tgn,7016154	tgn,7016154	1435
tgn,7016129	tgn,7021610	1
tgn,7016129	tgn,7018995	39
tgn,7016129	tgn,7018023	796
tgn,7016129	tgn,7017751	5
tgn,7016129	tgn,7017750	124
tgn,7016129	tgn,7017708	121
tgn,7016129	tgn,7017649	58
tgn,7016129	tgn,7017544	205
tgn,7016129	tgn,7017498	7
tgn,7016129	tgn,7017496	29
tgn,7016129	tgn,7017444	181
tgn,7016129	tgn,7016154	165
tgn,7016129	tgn,7016129	378
tgn,7014729	tgn,7018995	14
tgn,7014729	tgn,7018023	34
tgn,7014729	tgn,7017751	1
tgn,7014729	tgn,7017750	17
tgn,7014729	tgn,7017708	75
tgn,7014729	tgn,7017649	28
tgn,7014729	tgn,7017498	24
tgn,7014729	tgn,7017496	40
tgn,7014729	tgn,7017444	38
tgn,7014729	tgn,7016154	51
tgn,7014729	tgn,7016129	13
tgn,7014729	tgn,7014729	422
tgn,7014664	tgn,7021610	18
tgn,7014664	tgn,7018995	24
tgn,7014664	tgn,7018023	149
tgn,7014664	tgn,7017750	36
tgn,7014664	tgn,7017708	64
tgn,7014664	tgn,7017649	18
tgn,7014664	tgn,7017544	13
tgn,7014664	tgn,7017498	7
tgn,7014664	tgn,7017496	12
tgn,7014664	tgn,7017444	37
tgn,7014664	tgn,7016154	50
tgn,7014664	tgn,7016129	50
tgn,7014664	tgn,7014729	12
tgn,7014664	tgn,7014664	556
tgn,7014631	tgn,7021610	21
tgn,7014631	tgn,7018995	41
tgn,7014631	tgn,7018023	112
tgn,7014631	tgn,7017751	11
tgn,7014631	tgn,7017750	101
tgn,7014631	tgn,7017708	66
tgn,7014631	tgn,7017649	20
tgn,7014631	tgn,7017544	14
tgn,7014631	tgn,7017498	145
tgn,7014631	tgn,7017496	79
tgn,7014631	tgn,7017444	199
tgn,7014631	tgn,7016154	46
tgn,7014631	tgn,7016129	19
tgn,7014631	tgn,7014729	41
tgn,7014631	tgn,7014664	40
tgn,7014631	tgn,7014631	786
tgn,7014629	tgn,7021610	1
tgn,7014629	tgn,7018995	20
tgn,7014629	tgn,7018023	46
tgn,7014629	tgn,7017751	7
tgn,7014629	tgn,7017750	31
tgn,7014629	tgn,7017708	78
tgn,7014629	tgn,7017649	32
tgn,7014629	tgn,7017544	5
tgn,7014629	tgn,7017498	11
tgn,7014629	tgn,7017496	40
tgn,7014629	tgn,7017444	20
tgn,7014629	tgn,7016154	42
