source	target	weight
tgn,7014620	tgn,7017649	30
tgn,7014620	tgn,7017544	3
tgn,7014620	tgn,7017498	21
tgn,7014620	tgn,7017496	8
tgn,7014620	tgn,7017444	9
tgn,7014620	tgn,7016154	101
tgn,7014620	tgn,7016129	37
tgn,7014620	tgn,7014729	68
tgn,7014620	tgn,7014664	27
tgn,7014620	tgn,7014631	14
tgn,7014620	tgn,7014629	8
tgn,7014620	tgn,7014620	170
tgn,7014538	tgn,7018995	17
tgn,7014538	tgn,7018023	16
tgn,7014538	tgn,7017751	1
tgn,7014538	tgn,7017750	47
tgn,7014538	tgn,7017708	274
tgn,7014538	tgn,7017649	22
tgn,7014538	tgn,7017544	2
tgn,7014538	tgn,7017498	43
tgn,7014538	tgn,7017496	4
tgn,7014538	tgn,7017444	15
tgn,7014538	tgn,7016154	106
tgn,7014538	tgn,7016129	62
tgn,7014538	tgn,7014729	65
tgn,7014538	tgn,7014664	8
tgn,7014538	tgn,7014631	12
tgn,7014538	tgn,7014629	6
tgn,7014538	tgn,7014620	180
tgn,7014538	tgn,7014538	166
tgn,7014487	tgn,7021610	102
tgn,7014487	tgn,7018995	73
tgn,7014487	tgn,7018023	103
tgn,7014487	tgn,7017751	2
tgn,7014487	tgn,7017750	104
tgn,7014487	tgn,7017708	76
tgn,7014487	tgn,7017649	144
tgn,7014487	tgn,7017544	8
tgn,7014487	tgn,7017498	103
tgn,7014487	tgn,7017496	47
tgn,7014487	tgn,7017444	173
tgn,7014487	tgn,7016154	66
tgn,7014487	tgn,7016129	15
tgn,7014487	tgn,7014729	11
tgn,7014487	tgn,7014664	23
tgn,7014487	tgn,7014631	173
tgn,7014487	tgn,7014629	6
tgn,7014487	tgn,7014620	30
tgn,7014487	tgn,7014538	18
tgn,7014487	tgn,7014487	695
tgn,7014456	tgn,7021610	10
tgn,7014456	tgn,7018995	25
tgn,7014456	tgn,7018023	58
tgn,7014456	tgn,7017751	8
tgn,7014456	tgn,7017750	23
tgn,7014456	tgn,7017708	6
tgn,7014456	tgn,7017649	10
tgn,7014456	tgn,7017544	9
tgn,7014456	tgn,7017498	5
tgn,7014456	tgn,7017496	15
tgn,7014456	tgn,7017444	11
tgn,7014456	tgn,7016154	47
tgn,7014456	tgn,7016129	8
tgn,7014456	tgn,7014729	4
tgn,7014456	tgn,7014664	8
tgn,7014456	tgn,7014631	12
tgn,7014456	tgn,7014620	8
tgn,7014456	tgn,7014538	3
tgn,7014456	tgn,7014487	15
tgn,7014456	tgn,7014456	89
tgn,7014444	tgn,7021610	60
tgn,7014444	tgn,7018995	288
tgn,7014444	tgn,7018023	257
tgn,7014444	tgn,7017751	4
tgn,7014444	tgn,7017750	197
tgn,7014444	tgn,7017708	103
tgn,7014444	tgn,7017649	88
tgn,7014444	tgn,7017544	26
tgn,7014444	tgn,7017498	13
tgn,7014444	tgn,7017496	75
tgn,7014444	tgn,7017444	59
tgn,7014444	tgn,7016154	207
tgn,7014444	tgn,7016129	48
tgn,7014444	tgn,7014729	11
tgn,7014444	tgn,7014664	35
tgn,7014444	tgn,7014631	33
tgn,7014444	tgn,7014629	13
tgn,7014444	tgn,7014620	58
tgn,7014444	tgn,7014538	17
tgn,7014444	tgn,7014487	64
tgn,7014444	tgn,7014456	64
tgn,7014444	tgn,7014444	399
tgn,7014406	tgn,7021610	122
tgn,7014406	tgn,7018995	183
tgn,7014406	tgn,7018023	402
tgn,7014406	tgn,7017751	20
tgn,7014406	tgn,7017750	159
tgn,7014406	tgn,7017708	288
tgn,7014406	tgn,7017649	88
tgn,7014406	tgn,7017544	58
tgn,7014406	tgn,7017498	35
tgn,7014406	tgn,7017496	104
tgn,7014406	tgn,7017444	104
tgn,7014406	tgn,7016154	418
tgn,7014406	tgn,7016129	76
tgn,7014406	tgn,7014729	32
tgn,7014406	tgn,7014664	76
tgn,7014406	tgn,7014631	128
tgn,7014406	tgn,7014629	41
tgn,7014406	tgn,7014620	139
tgn,7014406	tgn,7014538	85
tgn,7014406	tgn,7014487	161
tgn,7014406	tgn,7014456	62
tgn,7014406	tgn,7014444	260
tgn,7014406	tgn,7014406	796
tgn,7014404	tgn,7021610	12
tgn,7014404	tgn,7018995	15
tgn,7014404	tgn,7018023	82
tgn,7014404	tgn,7017751	7
tgn,7014404	tgn,7017750	51
tgn,7014404	tgn,7017708	57
tgn,7014404	tgn,7017649	45
tgn,7014404	tgn,7017544	3
tgn,7014404	tgn,7017498	77
tgn,7014404	tgn,7017496	13
tgn,7014404	tgn,7017444	32
tgn,7014404	tgn,7016154	29
tgn,7014404	tgn,7016129	38
tgn,7014404	tgn,7014729	45
tgn,7014404	tgn,7014664	50
tgn,7014404	tgn,7014631	58
tgn,7014404	tgn,7014629	38
tgn,7014404	tgn,7014620	39
tgn,7014404	tgn,7014538	57
tgn,7014404	tgn,7014487	56
tgn,7014404	tgn,7014456	7
tgn,7014404	tgn,7014444	21
tgn,7014404	tgn,7014406	86
tgn,7014404	tgn,7014404	409
tgn,7014345	tgn,7021610	2
tgn,7014345	tgn,7018995	23
tgn,7014345	tgn,7018023	3
tgn,7014345	tgn,7017750	11
